
WPe9xdL	2019-07-25 22:33:42.288949+00:00	2019-07-25 22:34:13.047556+00:00	30.758607

nXe0vbx	2019-07-25 22:33:42.504546+00:00	2019-07-25 22:39:41.764775+00:00	359.260229

negJYdw	2019-07-25 22:33:42.687943+00:00	2019-07-25 22:40:41.548076+00:00	418.860133

lejRRej	2019-07-25 22:33:42.970870+00:00	2019-07-25 22:35:12.815288+00:00	89.844418

mbkR5az	2019-07-25 22:33:43.188221+00:00	2019-07-25 22:35:42.771994+00:00	119.583773

nelY5aK	2019-07-25 22:33:43.367455+00:00	2019-07-25 22:43:40.409959+00:00	597.042504

vbmZOdY	2019-07-25 22:33:43.587399+00:00	2019-07-25 22:36:12.742994+00:00	149.155595

pen5Rd7	2019-07-25 22:33:43.771592+00:00	2019-07-25 22:37:12.383104+00:00	208.611512

xbo2jag	2019-07-25 22:33:43.977126+00:00	2019-07-25 22:48:09.216916+00:00	865.23979

mepY2aM	2019-07-25 22:33:44.141198+00:00	2019-07-25 22:43:10.742597+00:00	566.601399

zbqx2ap	2019-07-25 22:33:44.297172+00:00	2019-07-25 22:45:39.928928+00:00	715.631756

YerkEaO	2019-07-25 22:33:44.479492+00:00	2019-07-25 22:51:08.394944+00:00	1043.915452

Vyb8mdv	2019-07-25 20:53:33.193911+00:00	2019-07-25 20:55:32.581688+00:00	119.387777

9av2maG	2019-07-25 22:33:44.731812+00:00	2019-07-25 22:36:42.571202+00:00	177.83939

DdwpRe1	2019-07-25 22:33:44.911554+00:00	2019-07-25 22:46:39.789286+00:00	774.877732

7axk9ey	2019-07-25 22:33:45.077340+00:00	2019-07-25 22:44:40.137473+00:00	655.060133

PdyP7bQ	2019-07-25 22:33:45.258916+00:00	2019-07-25 22:51:38.384914+00:00	1073.125998

kazpYdJ	2019-07-25 22:33:45.440123+00:00	2019-07-25 22:47:39.304860+00:00	833.864737

9aADOev	2019-07-25 22:33:45.623200+00:00	2019-07-25 22:37:42.130143+00:00	236.506943

6dBBXd7	2019-07-25 22:33:45.797611+00:00	2019-07-25 22:41:11.290689+00:00	445.493078

DbDkxal	2019-07-25 22:33:45.994668+00:00	2019-07-25 22:34:43.090685+00:00	57.096017

oeERva0	2019-07-25 22:33:46.175315+00:00	2019-07-25 22:49:08.900103+00:00	922.724788

RdG67bD	2019-07-25 22:33:46.349552+00:00	2019-07-25 22:38:11.800923+00:00	265.451371

QdJ62dO	2019-07-25 22:33:46.520825+00:00	2019-07-25 22:38:41.457073+00:00	294.936248

1aKrReQ	2019-07-25 22:33:46.703533+00:00	2019-07-25 22:50:08.526153+00:00	981.82262

wdL9wej	2019-07-25 22:33:46.884459+00:00	2019-07-25 22:50:38.492858+00:00	1011.608399

M7e5Ba2	2019-07-25 20:53:32.417046+00:00	2019-07-25 20:54:03.092484+00:00	30.675438

1aM8AeW	2019-07-25 22:33:47.135978+00:00	2019-07-25 22:57:15.946887+00:00	1408.810909

0dNk6eL	2019-07-25 22:33:47.339937+00:00	2019-07-25 22:53:09.315989+00:00	1161.976052

YaOYpdx	2019-07-25 22:33:47.517076+00:00	2019-07-25 22:40:11.631349+00:00	384.114273

ZdPNwaK	2019-07-25 22:33:47.733036+00:00	2019-07-25 22:41:41.070009+00:00	473.336973

qaQWldn	2019-07-25 22:33:47.893453+00:00	2019-07-25 22:52:08.416560+00:00	1100.523107

5xe7jd7	2019-07-25 20:53:32.956608+00:00	2019-07-25 20:55:02.662981+00:00	89.706373

PdR6qdG	2019-07-25 22:33:48.147467+00:00	2019-07-25 22:45:09.963882+00:00	681.816415

5eVOMaE	2019-07-25 22:33:48.320787+00:00	2019-07-25 22:47:09.514108+00:00	801.193321

NbW6Jay	2019-07-25 22:33:48.503796+00:00	2019-07-25 23:02:26.169210+00:00	1717.665414

BeXDWey	2019-07-25 22:33:48.683740+00:00	2019-07-25 23:03:28.244109+00:00	1779.560369

QbYEKbz	2019-07-25 22:33:48.861857+00:00	2019-07-25 22:56:46.088308+00:00	1377.226451

QeZ6Jep	2019-07-25 22:33:49.025477+00:00	2019-07-25 22:54:41.941711+00:00	1252.916234

Qe1wRbJ	2019-07-25 22:33:49.174401+00:00	2019-07-25 22:58:47.644420+00:00	1498.470019

rb2kKdW	2019-07-25 22:33:49.352695+00:00	2019-07-25 22:42:40.843960+00:00	531.491265

Le31Mb6	2019-07-25 22:33:49.535618+00:00	2019-07-25 22:57:46.899202+00:00	1437.363584

Rb4x1bB	2019-07-25 22:33:49.715286+00:00	2019-07-25 22:39:11.190198+00:00	321.474912

7e5yBe2	2019-07-25 22:33:49.893097+00:00	2019-07-25 22:59:17.529590+00:00	1527.636493

9b68neE	2019-07-25 22:33:50.061473+00:00	2019-07-25 22:59:49.216771+00:00	1559.155298

xe73je7	2019-07-25 22:33:50.228249+00:00	2019-07-25 22:44:10.335375+00:00	620.107126

yb82mev	2019-07-25 22:33:50.397283+00:00	2019-07-25 23:01:23.098027+00:00	1652.700744

Pe9rxaL	2019-07-25 22:33:50.576841+00:00	2019-07-25 23:04:59.673873+00:00	1869.097032

Xe0Rvbx	2019-07-25 22:33:50.749006+00:00	2019-07-25 23:06:03.037334+00:00	1932.288328

neg5Ybw	2019-07-25 22:33:50.931399+00:00	2019-07-25 23:07:07.161205+00:00	1996.229806

lej2Rej	2019-07-25 22:33:51.111054+00:00	2019-07-25 23:01:53.148358+00:00	1682.037304

mbk55ez	2019-07-25 22:33:51.277365+00:00	2019-07-25 22:53:40.831142+00:00	1189.553777

nelO5dK	2019-07-25 22:33:51.460147+00:00	2019-07-25 22:55:11.981069+00:00	1280.520922

vbmwOeY	2019-07-25 22:33:51.640649+00:00	2019-07-25 23:04:29.817551+00:00	1838.176902

penZRe7	2019-07-25 22:33:51.820807+00:00	2019-07-25 22:42:10.911407+00:00	499.0906

xboYjeg	2019-07-25 22:33:51.989013+00:00	2019-07-25 22:46:09.664538+00:00	737.675525

mepg2dM	2019-07-25 22:33:52.172173+00:00	2019-07-25 22:48:39.012853+00:00	886.84068

zbqj2dp	2019-07-25 22:33:52.350789+00:00	2019-07-25 23:07:40.312339+00:00	2027.96155

